movie_id,title,year,genre,language,rating,actor,actress,poster_url
59,Bommarillu,2008,Adventure,Telugu,5.1,Naveen Polishetty,Nabha Natesh,https://picsum.photos/id/158/300/450
60,Awe!,1991,Sci-Fi,Telugu,6.4,Vishwak Sen,Krithi Shetty,https://picsum.photos/id/159/300/450
61,Vikram,1996,Thriller,Tamil,9.2,Vijay,Trisha Krishnan,https://picsum.photos/id/160/300/450
62,Master,2006,Romance,Tamil,8.5,Ajith Kumar,Jyothika,https://picsum.photos/id/161/300/450
63,Vada Chennai,2001,Comedy,Tamil,7.3,Suriya,Aishwarya Rajesh,https://picsum.photos/id/162/300/450
64,Super Deluxe,1994,Fantasy,Tamil,8.1,Dhanush,Keerthy Suresh,https://picsum.photos/id/163/300/450
65,Asuran,2001,Adventure,Tamil,5.0,Vikram,Nayanthara,https://picsum.photos/id/164/300/450
66,Kaithi,2015,Thriller,Tamil,6.1,Kamal Haasan,Samantha Ruth Prabhu,https://picsum.photos/id/165/300/450
67,Pariyerum Perumal,2005,Action,Tamil,5.6,Rajinikanth,Kajal Aggarwal,https://picsum.photos/id/166/300/450
68,96,2004,Adventure,Tamil,6.3,Karthi,Tamannaah Bhatia,https://picsum.photos/id/167/300/450
69,Aruvi,1995,Adventure,Tamil,7.7,Sivakarthikeyan,Shruti Haasan,https://picsum.photos/id/168/300/450
70,Visaranai,2000,Fantasy,Tamil,8.5,Vijay Sethupathi,Nithya Menen,https://picsum.photos/id/169/300/450
71,Jai Bhim,1998,Adventure,Tamil,6.9,Madhavan,Aishwarya Rai,https://picsum.photos/id/170/300/450
72,Soorarai Pottru,2003,Adventure,Tamil,6.3,Arya,Amala Paul,https://picsum.photos/id/171/300/450
73,Karnan,2013,Comedy,Tamil,9.6,Jayam Ravi,Hansika Motwani,https://picsum.photos/id/172/300/450
74,Kaithi,2021,Drama,Tamil,9.9,Simbu,Anushka Shetty,https://picsum.photos/id/173/300/450
75,Peranbu,2015,Adventure,Tamil,8.4,Vishal,Sai Pallavi,https://picsum.photos/id/174/300/450
76,Drishyam,2022,Thriller,Malayalam,9.9,Mohanlal,Manju Warrier,https://picsum.photos/id/175/300/450
77,Kumbalangi Nights,2022,Adventure,Malayalam,9.9,Mammootty,Parvathy Thiruvothu,https://picsum.photos/id/176/300/450
78,Premam,2006,Sci-Fi,Malayalam,9.0,Fahadh Faasil,Nazriya Nazim,https://picsum.photos/id/177/300/450
79,Bangalore Days,2007,Action,Malayalam,5.8,Dulquer Salmaan,Nayanthara,https://picsum.photos/id/178/300/450
80,Maheshinte Prathikaaram,2023,Adventure,Malayalam,7.9,Nivin Pauly,Nimisha Sajayan,https://picsum.photos/id/179/300/450
81,Thondimuthalum Driksakshiyum,2011,Adventure,Malayalam,8.6,Tovino Thomas,Anna Ben,https://picsum.photos/id/180/300/450
82,Ee.Ma.Yau,1999,Drama,Malayalam,7.6,Prithviraj Sukumaran,Aishwarya Lekshmi,https://picsum.photos/id/181/300/450
83,Jallikattu,2007,Comedy,Malayalam,6.7,Asif Ali,Aparna Balamurali,https://picsum.photos/id/182/300/450
84,Angamaly Diaries,1990,Action,Malayalam,6.9,Kunchacko Boban,Grace Antony,https://picsum.photos/id/183/300/450
85,Sudani from Nigeria,2014,Comedy,Malayalam,5.6,Biju Menon,Rajisha Vijayan,https://picsum.photos/id/184/300/450
86,KGF: Chapter 1,2017,Comedy,Kannada,6.3,Yash,Rachita Ram,https://picsum.photos/id/185/300/450
87,KGF: Chapter 2,2006,Fantasy,Kannada,9.8,Sudeep,Radhika Pandit,https://picsum.photos/id/186/300/450
88,Kantara,1998,Fantasy,Kannada,7.8,Darshan,Rashmika Mandanna,https://picsum.photos/id/187/300/450
89,Lucia,2015,Sci-Fi,Kannada,5.4,Puneeth Rajkumar,Shanvi Srivastava,https://picsum.photos/id/188/300/450
90,Ulidavaru Kandanthe,1992,Fantasy,Kannada,5.9,Upendra,Shraddha Srinath,https://picsum.photos/id/189/300/450
91,Rangitaranga,2000,Thriller,Kannada,8.7,Rakshit Shetty,Haripriya,https://picsum.photos/id/190/300/450
92,U Turn,1998,Sci-Fi,Kannada,5.2,Ganesh,Ashika Ranganath,https://picsum.photos/id/191/300/450
93,Kirik Party,2017,Horror,Kannada,8.5,Shiva Rajkumar,Nabha Natesh,https://picsum.photos/id/192/300/450
94,Dia,1999,Comedy,Kannada,5.1,Duniya Vijay,Srinidhi Shetty,https://picsum.photos/id/193/300/450
95,Godhi Banna Sadharana Mykattu,2013,Drama,Kannada,9.6,Dhruva Sarja,Aditi Prabhudeva,https://picsum.photos/id/194/300/450
96,Movie Title 96,2011,Crime,Kannada,9.2,Diganth,Meghana Raj,https://picsum.photos/id/195/300/450
97,Movie Title 97,2015,Adventure,Kannada,6.6,Prajwal Devaraj,Ragini Dwivedi,https://picsum.photos/id/196/300/450
98,Movie Title 98,2016,Crime,Kannada,5.9,Srimurali,Amulya,https://picsum.photos/id/197/300/450
99,Movie Title 99,2010,Romance,Kannada,9.6,Dhananjay,Malashri,https://picsum.photos/id/198/300/450
100,Movie Title 100,2015,Adventure,Kannada,6.1,Rishabh Shetty,Ramya,https://picsum.photos/id/199/300/450
